track_id,duration,tempo,loudness,key,mode,time_signature,danceability,energy,key_confidence,mode_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,song_hotttnesss,artist_hotttnesss,artist_familiarity,year
TRBIBKA128F42947BF,235.98975,85.865,-7.557,1,1,4,0.0,0.0,0.554,0.637,0.651,0.0,233.72,0.6205815482847123,0.39345711137576006,0.705491779875456,2001
TRBIBKU128F422A0E3,273.162,115.434,-11.718,8,1,4,0.0,0.0,0.003,0.183,1.0,0.31,260.005,,0.31143764032728327,0.32300899095323227,
TRBIBLJ12903CCF436,269.58322,121.948,-3.579,5,0,4,0.0,0.0,0.153,0.38,0.303,0.198,259.802,0.7259841874679933,0.6552837984150548,0.9158232530331046,1986
TRBIBLK128F4264240,262.53016,148.071,-15.751,9,1,4,0.0,0.0,0.592,0.553,0.616,0.311,249.574,,0.3384002480697542,0.38983755607288795,
TRBIBOJ128F14618D4,236.72118,87.326,-5.265,7,1,4,0.0,0.0,0.714,0.565,1.0,0.0,222.801,,0.45784115609436704,0.8048388888270448,2001
TRBIBSK128F92E5624,150.72608,94.257,-8.215,2,0,4,0.0,0.0,0.624,0.557,0.507,0.194,147.278,,0.34342837829688244,0.4873567909281477,
TRBIBSN128F92FBA64,263.52281,90.811,-12.781,11,0,4,0.0,0.0,0.034,0.243,0.779,0.252,249.098,,0.2563503629041404,0.3863837750240484,
TRBIBSS128F14A205E,296.80281,61.634,-21.254,7,1,5,0.0,0.0,0.651,0.628,0.527,3.408,278.343,0.5889221675559065,0.35303405577540575,0.43002498682970675,
TRBIBTE128E078E882,147.64363,144.424,-12.793,7,1,4,0.0,0.0,0.75,0.754,0.797,3.413,147.644,,0.547746274612012,0.7781427230552,1980
TRBIBTU128F92FDC9D,369.57995,110.0,-6.555,1,1,4,0.0,0.0,0.0,0.114,0.662,0.0,356.926,0.5300256141714262,0.3018470948111364,0.6205019249164577,2009
TRBIBVM128F4262E9D,96.10404,200.289,-3.973,0,0,1,0.0,0.0,1.0,0.802,0.936,0.0,92.34,,0.5183991616558854,0.7696873177723957,2006
TRBICCR128F9352E4F,249.73016,162.356,-16.808,1,1,4,0.0,0.0,0.747,0.712,0.721,0.0,244.123,,0.3071950178281231,0.4684493453313319,
TRBICDG12903CBBAC6,259.26485,96.043,-7.409,1,0,4,0.0,0.0,0.605,0.537,0.415,0.235,250.694,,0.3577843123968623,0.07717686734645086,
TRBICEA128F93668AA,260.38812,106.644,-3.8,7,1,1,0.0,0.0,0.399,0.607,0.923,0.206,252.645,,0.49607134662408603,0.7602701060288193,
TRBICFZ128F429F9E1,191.86893,98.563,-16.83,4,1,1,0.0,0.0,0.341,0.401,0.0,0.403,184.633,,0.28228640563265106,0.36280014168093827,
TRBICGT128E0792473,402.36363,122.838,-5.454,6,1,4,0.0,0.0,0.741,0.82,0.554,0.0,402.364,0.5022112205508021,0.7136698195798281,0.8440850613953652,1988
TRBICHF128F92E42FA,338.72934,83.573,-6.988,1,1,1,0.0,0.0,0.0,0.089,1.0,0.0,331.564,0.38595083446417855,0.39909855771484765,0.0,2009
TRBICJM128F1490DE4,173.73995,119.763,-10.713,2,1,4,0.0,0.0,0.715,0.664,1.0,0.206,167.12,0.4051157216913865,0.38955338756808916,0.5109287026358955,
TRBICPL128F9303BB0,243.43465,216.557,-8.864,7,1,7,0.0,0.0,0.768,0.657,1.0,0.345,227.515,0.3701194801584678,0.40536080046519324,0.5163803399025109,1995
TRBICQR128F9322603,44.2771,70.123,-20.656,2,1,1,0.0,0.0,0.086,0.237,0.514,0.0,42.057,,0.39746763608485836,0.480806281832134,
TRBICRP128F42882BB,264.6722,117.004,-7.228,0,0,4,0.0,0.0,0.153,0.307,1.0,0.0,243.989,,0.3752065673793491,0.5197341973984969,
TRBICVB128F9326B65,201.27302,125.562,-3.892,5,0,4,0.0,0.0,0.426,0.544,1.0,0.346,192.557,0.7552627651814218,0.4822988321304963,0.6128375038274145,2007
TRBICWB12903C9D763,60.70812,200.617,-7.063,11,1,4,0.0,0.0,0.0,0.178,0.379,0.102,58.636,0.22914410371660274,0.0,0.3512692911825123,
TRBICWI128F4234787,289.77587,92.433,-11.992,0,1,3,0.0,0.0,1.0,0.561,0.574,0.113,279.829,0.0,0.2060203719845676,0.5209330793305875,2006
TRBICXY128F428A9C8,343.84934,100.82,-17.431,5,1,3,0.0,0.0,0.672,0.457,1.0,0.0,336.103,,0.34943133792488706,0.5172745924496447,
TRBIDFH128F1464397,517.0673,137.687,-18.993,10,1,4,0.0,0.0,0.439,0.633,0.332,0.131,511.599,,0.0,0.05210341402672108,
TRBIDGE128F9333791,153.52118,91.568,-22.377,0,1,4,0.0,0.0,0.4,0.421,0.562,0.107,145.908,0.0,0.11988762173866001,0.25110474181185727,
TRBIDKS128F92CA8AD,136.07138,122.976,-16.558,0,0,4,0.0,0.0,0.281,0.493,0.217,0.299,122.41,,0.1988008451593438,0.27806609161184603,
TRBIDPO128F423508A,225.07057,135.91,-6.742,6,0,3,0.0,0.0,0.945,0.823,0.771,0.241,215.917,,0.23829280794184393,0.29107024504882967,
TRBIDRG128F92FC6E5,179.64363,131.986,-10.375,11,1,5,0.0,0.0,0.79,0.732,0.285,2.473,174.597,0.3277366831778408,0.3849861165778121,0.5357025281303791,2007
TRBIDUD128F92FA11C,164.57098,85.268,-9.043,2,1,4,0.0,0.0,0.995,0.791,0.063,0.0,156.787,,0.40199254009343804,0.6811480229878107,
TRBIDUK128F42806A4,178.25914,109.961,-12.518,0,1,1,0.0,0.0,0.767,0.721,0.0,0.381,174.591,,0.3546029258766705,0.5077968849276677,
TRBIDWY128F92E7BD9,193.04444,74.985,-11.704,1,1,1,0.0,0.0,0.804,0.485,0.0,0.0,193.044,,0.3996394901716998,0.5593586308995626,
TRBIDYF128F42680C4,108.35546,92.499,-16.154,5,1,4,0.0,0.0,0.83,0.825,0.629,11.819,101.541,,0.2916990799372148,0.47161281018282714,
TRBIECT128F933810B,189.88363,123.29,-10.614,2,1,4,0.0,0.0,0.865,0.728,0.91,0.225,180.901,0.0,0.34621991956649656,0.5928931298703243,
TRBIEGC128F93317E6,166.03383,150.986,-13.554,4,1,3,0.0,0.0,0.688,0.638,1.0,0.0,158.929,,0.45278947675222264,0.5605579839038146,
TRBIEHQ12903CB66CE,242.59873,96.978,-7.956,0,1,4,0.0,0.0,0.518,0.439,0.558,0.0,242.599,0.0,0.3667046199936735,0.5748253210652502,
TRBIEIZ128F148D778,247.64036,81.53,-5.597,7,1,4,0.0,0.0,0.569,0.578,0.859,2.014,242.707,,1.0825025567261237,0.8772137459246516,2005
TRBIEJU12903CE6489,277.65506,109.831,-19.196,0,1,4,0.0,0.0,0.626,0.612,1.0,0.131,267.552,,0.6462073523388863,0.6447333061973751,
TRBIELT128F93381E6,185.73016,181.239,-17.45,5,1,1,0.0,0.0,0.552,0.43,0.0,0.705,182.184,,0.3243342048085304,0.4796207472295076,
TRBIEOB128F9345157,181.49832,114.325,-11.095,0,1,4,0.0,0.0,0.502,0.459,0.735,0.127,168.281,,0.34721781564698434,0.5445079887650446,
TRBIERO12903CC4BF5,149.36771,125.717,-10.857,1,0,1,0.0,0.0,0.661,0.67,0.0,0.258,144.968,,0.37747250731152715,0.49019363397840465,
TRBIEUG128F9318813,239.59465,142.991,-5.168,11,0,4,0.0,0.0,0.0,0.309,0.0,0.107,216.491,,0.0,0.4497436010513175,
TRBIEUL128F4268D07,65.72363,115.498,-14.843,1,1,3,0.0,0.0,0.531,0.377,0.199,2.775,61.649,,0.41693587166116425,0.6192606048777783,
TRBIEVL128F9352A51,195.5522,88.12,-14.773,7,1,3,0.0,0.0,0.77,0.827,1.0,0.085,189.225,,0.0,0.2860405995487127,
TRBIEXO128F429233D,117.4722,83.724,-16.438,2,1,4,0.0,0.0,0.186,0.293,0.0,0.293,114.596,0.0,0.4088617195261995,0.6477690631022126,1964
TRBIEZY128F426C432,209.13587,101.458,-7.846,1,1,4,0.0,0.0,0.01,0.376,0.453,0.102,193.225,,0.0,0.389699027551096,
TRBIFAU128F9328EC4,159.58159,83.985,-8.863,10,1,3,0.0,0.0,0.25,0.558,0.518,0.0,153.884,0.4454545254934259,0.39974166746146406,0.5666404208397303,
TRBIFGK128F92F23A2,225.12281,134.734,-4.808,11,0,1,0.0,0.0,0.116,0.379,0.0,0.0,207.697,0.7603432374173373,0.8289063015404353,0.9184517888889826,2008
TRBIFGL12903D0C8BE,455.44444,134.07,-3.277,8,0,4,0.0,0.0,0.459,0.473,0.542,0.485,442.032,0.0,0.4225876607355313,0.4672359160951003,
TRBIFNO128F42702FB,43.2322,97.067,-12.577,11,1,4,0.0,0.0,0.062,0.524,0.712,2.485,43.232,,0.0,0.536655656311645,2001
TRBIFOK128EF362D20,315.97669,104.357,-6.823,7,1,4,0.0,0.0,0.59,0.626,1.0,0.206,310.37,,0.5111304652008951,0.7528532464494054,
TRBIFPI12903CEAFB6,113.81506,87.714,-10.955,7,1,1,0.0,0.0,0.015,0.237,0.0,0.16,109.36,0.0,0.28737003459245986,0.41424422917234577,
TRBIFPX12903CCF859,166.55628,88.843,-8.85,5,0,1,0.0,0.0,0.528,0.52,0.0,0.218,149.6,,0.3832290261922142,0.5870237387492154,
TRBIFUD128F1495AE2,227.94404,93.859,-6.221,4,0,4,0.0,0.0,0.096,0.238,0.917,0.0,213.879,0.4051157216913865,0.36741233742016544,0.524878486541168,
TRBIFUV12903D07374,224.67873,122.832,-13.895,9,1,5,0.0,0.0,0.296,0.471,1.0,0.402,215.522,,0.3835574697768149,0.6528604657461411,1974
TRBIFWB128F1460D8C,201.40363,121.691,-7.606,7,0,3,0.0,0.0,0.279,0.482,0.922,0.0,192.824,0.6232359933219161,0.5013606133308892,0.7242849266433012,1981
TRBIFZX128F9342AAE,490.86649,82.005,-5.007,10,0,3,0.0,0.0,0.052,0.03,1.0,0.119,484.206,0.21508031850922793,0.47680335353388514,0.0,
TRBIGAK128F424C305,245.49832,163.136,-12.231,4,1,1,0.0,0.0,0.26,0.423,0.0,0.409,234.905,,0.31311203183458997,0.5296593308867515,
TRBIGFQ128F933EBEE,298.55302,89.518,-24.81,5,1,3,0.0,0.0,0.644,0.613,0.684,0.514,290.836,0.0,0.36868937254805195,0.5344643522287597,
TRBIGGV12903CABC77,270.28853,120.077,-12.922,2,1,4,0.0,0.0,0.479,0.559,0.818,0.194,256.151,,0.44859380261178367,0.5650898922038983,2000
TRBIGJN128F4222B19,157.93587,83.469,-7.5,1,1,3,0.0,0.0,0.0,0.0,1.0,0.16,154.134,,0.28726019379837814,0.3940552461948827,
TRBIGLR128F92E87DD,162.82077,188.481,-4.553,9,1,4,0.0,0.0,0.565,0.522,0.0,0.806,151.777,,0.367464833037383,0.48787193246557115,
TRBIGOC12903CC4FDF,348.02893,95.787,-8.022,9,1,4,0.0,0.0,0.771,0.67,0.958,0.189,327.454,0.0,0.3804946211294025,0.5083599025668306,1999
TRBIGRU128F145B139,274.15465,140.449,-10.377,9,1,4,0.0,0.0,0.041,0.246,0.711,0.467,250.665,0.34580223396532944,0.4230219215750594,0.6453679560153077,
TRBIGRY128F42597B3,160.62649,161.991,-8.211,4,1,4,0.0,0.0,0.519,0.521,0.652,0.201,147.342,0.6406882807726302,0.5173422859533258,0.7714921495221693,2000
TRBIGRZ128E0792329,199.3922,158.244,-7.335,0,1,4,0.0,0.0,0.429,0.454,0.927,3.274,186.839,,0.4097293787891668,0.6558886686737124,1995
TRBIGTG128F92EDBAC,219.01016,88.002,-6.968,9,1,4,0.0,0.0,0.493,0.519,0.331,2.339,202.548,0.595926916265944,0.39274731080277514,0.5994647627472443,2008
TRBIGUJ128F92D674F,147.25179,105.653,-10.978,8,1,1,0.0,0.0,0.681,0.516,0.0,0.0,140.696,0.46048484498641545,0.3509282709771781,0.5422998843903899,1991
TRBIGXB12903CBFE1F,248.16281,110.494,-11.476,7,1,1,0.0,0.0,0.0,0.125,0.0,0.0,243.711,0.30017262572415554,0.36982344721963717,0.5578578500456283,
TRBIHAU128F425C317,198.53016,185.452,-5.233,0,1,1,0.0,0.0,0.456,0.649,0.0,0.374,189.98,0.5874265067023358,0.5515524551563505,0.7497969594005849,1985
TRBIHGD128F92E8D12,444.49914,127.955,-9.539,7,0,4,0.0,0.0,0.804,0.768,0.0,3.947,438.48,,0.29403748296747373,0.46117348001811576,
TRBIHHY128F9306343,188.70812,113.397,-8.635,9,0,4,0.0,0.0,0.215,0.28,0.948,0.0,184.953,,0.2650944490241476,0.46127288013054923,
TRBIHKE128F9309555,176.5873,89.607,-8.016,11,1,1,0.0,0.0,0.48,0.558,0.0,0.165,168.443,,0.5492043838770254,0.7311842304128983,
TRBIHKT128F4290554,240.61342,103.832,-4.225,10,0,4,0.0,0.0,0.0,0.039,0.986,0.311,227.149,0.319565986882865,0.555968803751809,0.7379725284001423,2003
TRBIHMZ128F42B7CF3,199.75791,143.764,-16.603,9,1,1,0.0,0.0,0.283,0.436,0.137,0.328,195.146,0.4051157216913865,0.3690768705489907,0.6242003276351012,
TRBIHOC12903CE371C,241.03138,125.653,-7.561,7,1,4,0.0,0.0,0.705,0.617,1.0,0.0,236.28,0.47212111953959446,0.5004591506589332,0.7734913244983689,
TRBIHQM128F92F83BA,328.6722,99.998,-7.437,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,308.407,0.0,0.3084860991203661,0.4671375506977614,
TRBIHVW128F4233965,271.43791,167.885,-13.017,1,1,4,0.0,0.0,0.617,0.545,0.465,0.094,267.726,0.4287022625232594,0.42883453621653383,0.6282744489330068,2003
TRBIIAL128F4252C04,207.90812,91.964,-9.826,0,1,4,0.0,0.0,0.938,0.922,0.944,2.113,200.446,0.278598087332016,0.3110970495237888,0.38472013841978675,
TRBIICD128F14553D8,261.61587,91.005,-7.727,0,1,4,0.0,0.0,0.741,0.612,1.0,3.03,255.303,0.319565986882865,0.30073460390237744,0.529020069005829,
TRBIIEU128F9307C88,208.27383,192.07,-3.301,4,1,4,0.0,0.0,0.662,0.658,0.937,0.113,191.28,0.6631939677740828,0.5482282091918806,0.8918537796888409,2009
TRBIIJX128F933AB7D,150.09914,131.552,-12.517,0,1,3,0.0,0.0,0.526,0.571,1.0,0.0,138.896,,0.2570629202962798,0.34151385491859326,2000
TRBIIJY12903CE4755,231.83628,100.881,-6.156,10,1,4,0.0,0.0,0.094,0.224,1.0,0.0,215.789,,0.4318827563379648,0.6792921844437226,1996
TRBIIOT128F423C594,141.08689,150.04,-6.021,2,1,4,0.0,0.0,0.239,0.139,1.0,0.0,136.115,,0.5762946511398908,0.7642871824984319,1978
TRBIISJ128F14AE61C,311.2224,68.537,-16.294,0,1,1,0.0,0.0,0.665,0.561,0.0,3.646,295.044,0.0,0.3722985729468398,0.5080586129066689,
TRBIIUC128F931B59E,414.9024,87.507,-6.239,4,0,4,0.0,0.0,0.868,0.718,1.0,0.0,408.596,,0.22021045009183346,0.3835940164356028,
TRBIIXI128F9344121,256.15628,84.96,-7.489,11,0,4,0.0,0.0,0.679,0.751,0.38,0.368,249.649,,0.315025710378856,0.6508959708087062,
TRBIJES12903CF5B12,475.21914,124.562,-8.316,3,1,3,0.0,0.0,0.0,0.29,0.989,0.0,455.593,0.6909709542805956,0.4690559757440672,0.5820347959534041,2006
TRBIJFB128F92ED124,179.40853,98.377,-4.027,11,1,3,0.0,0.0,0.06,0.396,0.991,0.0,179.409,,0.5115767829276756,0.7722304390383146,2006
TRBIJFO128F42990C5,162.95138,162.133,-12.673,5,1,4,0.0,0.0,0.86,0.562,0.668,0.442,154.024,0.3231121208952123,0.36368783982733144,0.5982371324954726,
TRBIJIA128F425F57D,314.5922,141.975,-14.881,9,1,4,0.0,0.0,0.658,0.648,0.659,3.895,296.153,0.3603705827121406,0.43094204343555065,0.639396479556684,1996
TRBIJIP128F9334953,187.14077,90.05,-8.065,7,1,4,0.0,0.0,0.546,0.63,0.433,0.311,182.671,,0.04903438084848781,0.3345427836570606,
TRBIJKN12903CBF11B,141.73995,119.271,-11.756,2,1,4,0.0,0.0,0.101,0.394,0.15,0.491,136.615,0.0,0.3315347514153216,0.4506459971150351,
TRBIJLT12903CE7070,172.25098,95.677,-16.159,0,1,1,0.0,0.0,0.0,0.2,0.0,0.097,167.184,,0.4011447414777875,0.6073269822745797,1989
TRBIJMU12903CF892B,386.19383,140.185,-8.087,7,1,4,0.0,0.0,0.374,0.54,0.099,0.177,386.194,0.5940795853731886,0.4998263135401019,0.7225705735101466,1998
TRBIJNF128F14815A7,168.01914,77.072,-14.517,8,1,3,0.0,0.0,0.223,0.398,0.597,0.403,163.463,0.3347065490692206,0.40977899776259186,0.5116634453722071,1998
TRBIJNK128F93093EC,193.72363,118.123,-12.087,1,1,4,0.0,0.0,0.931,0.565,0.205,0.173,186.015,,0.2899029316087479,0.43350762637871326,
TRBIJRN128F425F3DD,300.82567,137.663,-12.574,0,1,4,0.0,0.0,0.297,0.503,0.0,0.0,300.826,0.0,0.2168288859860431,0.334456512170269,
TRBIJYB128F14AE326,209.73669,150.575,-5.324,2,0,4,0.0,0.0,0.315,0.406,0.317,0.125,193.167,0.7803116042518864,0.5092430986786269,0.6091819919205147,2005
TRBHAAD128F9341700,287.34649,88.627,-11.47,0,0,4,0.0,0.0,0.532,0.39,0.029,0.09,274.727,,0.4141964814069906,0.5069768442453816,
TRBHAAK128F92E27BF,68.49261,142.666,-12.919,7,1,4,0.0,0.0,0.345,0.4,0.695,0.43,66.374,0.4072330149011048,0.47788930391586204,0.7914655421770528,2004
TRBHABK128F92F2A3D,250.01751,165.621,-5.569,9,0,4,0.0,0.0,0.367,0.386,0.0,0.543,235.938,0.450992311636255,0.42865098878987407,0.6088248054637592,1987
TRBHADL128F931E5F1,259.91791,91.988,-6.066,11,1,5,0.0,0.0,0.771,0.587,0.943,0.177,256.714,0.462387119587469,0.3807564155734675,0.6796542390260255,2009
TRBHAFV128F425D48E,232.51546,104.346,-15.497,4,1,4,0.0,0.0,0.912,0.747,0.0,2.165,225.837,0.2623089972119452,0.4636738694438821,0.730265183221149,
TRBHAGD128F423C388,387.26485,84.015,-8.304,7,1,3,0.0,0.0,0.026,0.396,1.0,0.218,382.398,,0.37231499597754764,0.5261270332019164,
TRBHAHN128F932D09E,214.90893,93.633,-29.51,8,1,5,0.0,0.0,0.012,0.331,0.617,4.174,203.61,,0.4358082848637359,0.5729433958023782,
TRBHAOY128F92E6E29,173.26975,103.546,-8.243,9,1,1,0.0,0.0,0.01,0.275,0.0,0.345,167.091,,0.2480246869211474,0.44566129114396935,
TRBHAUR128F147481A,209.42322,161.033,-3.161,0,0,3,0.0,0.0,0.395,0.495,0.269,0.241,203.082,,0.5924394855278091,0.8002839123724673,
TRBHBEB128F92CC0C6,183.95383,105.291,-13.757,5,1,1,0.0,0.0,0.268,0.324,0.0,0.0,173.436,,0.3135007553703385,0.5380855007945653,
TRBHBGB128F931E4CF,170.29179,153.802,-11.314,8,1,1,0.0,0.0,0.541,0.58,0.0,0.252,162.644,,0.49638114568159253,0.6649243624441277,1972
TRBHBIT128F4292E42,193.95873,100.922,-14.477,6,1,4,0.0,0.0,0.827,0.645,0.364,0.345,183.316,0.0,0.41712458371887273,0.5493533768111833,2004
TRBHBJS128F14A4E42,293.72036,124.513,-17.448,2,1,3,0.0,0.0,0.396,0.554,0.793,0.247,279.963,0.0,0.40650824851981693,0.6350878112623854,
TRBHBNV128F930A40B,286.77179,201.459,-11.596,6,0,4,0.0,0.0,0.0,0.0,0.485,0.808,279.499,,0.24154581836329983,0.3707157284259081,
TRBHBWW128F1475058,312.99873,164.33,-12.589,1,0,4,0.0,0.0,0.402,0.394,0.0,0.0,305.505,,0.3482300267229022,0.5576519965692474,2003
TRBHCAV128F428C58A,31.29424,56.216,-13.287,5,1,1,0.0,0.0,0.0,0.0,0.0,0.357,31.294,,0.27775367234636034,0.3383832631484684,
TRBHCKD128F145BD11,477.49179,85.06,-27.621,1,1,4,0.0,0.0,0.496,0.445,0.882,3.402,470.547,,0.34517431863973785,0.5343922941001787,
TRBHCMQ128F92E0447,101.642,126.184,-9.9,9,0,1,0.0,0.0,0.615,0.562,0.0,0.0,95.904,,0.38065635952956267,0.6018919753027975,
TRBHCQA128F149F192,202.08281,117.142,-6.424,5,1,4,0.0,0.0,0.407,0.407,1.0,0.255,187.339,0.5109620440021506,0.4990183984153171,0.7079250270253531,
TRBHCQF128F933B1E2,255.05914,128.998,-5.052,7,1,1,0.0,0.0,0.535,0.562,0.0,0.171,249.945,0.4051157216913865,0.39410780419688507,0.698977345836088,
TRBHCQS128F4291D02,235.02322,140.407,-6.711,6,1,4,0.0,0.0,0.217,0.352,0.0,0.0,235.023,,0.3730604928119009,0.6092941551456632,2001
TRBHCVC128F930CF55,307.33016,79.076,-8.067,9,1,4,0.0,0.0,0.264,0.436,0.871,0.293,293.419,0.26586104921065007,0.3196514586921026,0.4193126413987156,
TRBHCVQ12903CF8E90,304.66567,111.942,-6.821,3,0,4,0.0,0.0,0.717,0.633,0.722,0.386,289.1,0.3347065490692206,0.3649755953962232,0.6200416947183899,
TRBHCXP128F146D63B,281.0771,132.946,-11.403,9,1,4,0.0,0.0,0.039,0.252,1.0,2.705,275.54,0.48828987603734525,0.5244494707134351,0.7248644815196338,2005
TRBHCXR128F92E7D0E,183.90159,187.176,-12.289,11,1,4,0.0,0.0,0.609,0.61,0.0,0.087,178.666,0.677773440021412,0.4765593789777819,0.7272303154628746,1986
TRBHDBH128F92E7FA1,199.54893,136.786,-10.908,7,0,7,0.0,0.0,0.642,0.606,0.287,0.42,187.948,,0.279642625276782,0.3602418012082646,
TRBHDGB128F4235137,192.23465,115.671,-13.012,0,1,4,0.0,0.0,0.712,0.667,0.692,4.156,173.935,0.4582882074332055,0.3792280690900896,0.5008761600501868,1995
TRBHDGL128F42324A7,261.43302,126.428,-6.405,8,1,1,0.0,0.0,0.271,0.357,0.0,0.0,258.328,0.540493129382015,0.40880107251989956,0.6460213427696081,2008
TRBHDIU128F92E49B7,259.36934,85.155,-8.273,6,1,4,0.0,0.0,0.033,0.436,0.198,3.024,250.253,0.26586104921065007,0.3890293659837453,0.5007819858211396,1989
TRBHDIZ128F9313AB3,292.80608,109.059,-13.176,0,0,4,0.0,0.0,0.411,0.362,0.0,0.345,283.632,,0.34866534017096623,0.518436402575395,
TRBHDJD128F4227A54,302.602,153.251,-6.572,8,1,3,0.0,0.0,0.314,0.436,0.924,0.131,299.561,,0.1923496946810962,0.3293667099902436,
TRBHDJS128F42603F9,168.56771,71.609,-22.06,1,1,3,0.0,0.0,0.429,0.539,0.975,4.516,161.414,,0.39137058721808954,0.5221971752411875,
TRBHDLD128F146A756,327.88853,115.014,-6.282,8,0,4,0.0,0.0,0.623,0.662,1.0,0.0,312.953,,0.4387791606450403,0.6454264992871335,2000
TRBHDNB128F92D43C9,222.30159,155.906,-5.128,0,1,4,0.0,0.0,0.502,0.576,0.145,0.0,209.496,0.0,0.38477354138946035,0.4862200589790597,
TRBHDNO12903CB6C4C,540.52526,113.031,-9.479,4,1,3,0.0,0.0,0.587,0.435,1.0,0.247,531.122,0.0,0.0,0.4120997075021091,
TRBHDOC128F14ABE80,166.03383,140.084,-13.277,11,1,4,0.0,0.0,0.65,0.447,0.854,0.61,163.062,,0.0,0.06532732813951624,
TRBHDRQ128F933CAB3,405.78567,91.008,-4.491,4,0,4,0.0,0.0,0.611,0.553,0.79,0.0,386.125,,0.0,0.027730375787217293,
TRBHDSI128F9331867,152.86812,89.957,-5.216,11,0,4,0.0,0.0,0.05,0.484,0.218,0.0,136.417,,0.4254506138636907,0.6748394358233949,
TRBHDSW128F42ABC12,1280.88771,88.341,-15.357,8,0,7,0.0,0.0,0.2,0.351,0.694,0.375,1172.428,0.6559532315616005,0.4737005012967777,0.7728732738402645,
TRBHDTL128F1468F7D,393.61261,149.629,-9.897,4,1,1,0.0,0.0,0.583,0.551,0.0,0.7,389.898,,0.3353221299292441,0.4913702787170684,1977
TRBHDYA128F4280E77,110.94159,124.393,-15.81,7,1,4,0.0,0.0,0.022,0.495,0.121,0.665,100.339,0.24099189058358852,0.2491372295395512,0.41994127477041937,
TRBHEBY128F148CF2B,235.65016,142.893,-6.322,2,1,4,0.0,0.0,0.659,0.678,0.009,0.415,224.729,0.652839543316802,0.5098787078527026,0.7310657557108706,1997
TRBHECY128F930A474,284.00281,71.952,-13.452,9,1,3,0.0,0.0,0.712,0.523,0.646,0.0,267.993,,0.34128872330078414,0.5187439585798745,2001
TRBHEHF128F428385A,266.94485,128.407,-6.694,10,0,4,0.0,0.0,0.113,0.341,0.814,1.048,254.578,,0.5457307001135414,0.8002957130157586,2004
TRBHEJE12903CBEE90,206.602,125.1,-11.017,9,0,4,0.0,0.0,0.754,0.784,0.457,0.0,202.194,,0.306947608643182,0.5575710592101126,
TRBHEKQ12903CF2B6A,123.24526,120.381,-10.844,3,0,4,0.0,0.0,0.542,0.522,0.854,0.206,109.912,0.40987661230731964,0.347104737832973,0.2596329272951822,2008
TRBHEMP128F932DA55,266.34404,143.267,-6.31,1,1,3,0.0,0.0,0.61,0.647,0.973,0.392,260.487,0.0,0.31178940576016817,0.39271030278991514,1994
